"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.0.1","10.0.0.2","TCP","74","52142  >  34567 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1358909 TSecr=0 WS=512"
"2","34.189045659","10.0.0.3","10.0.0.2","TCP","74","38144  >  34568 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1367469 TSecr=0 WS=512"
"3","34.344907136","10.0.0.2","10.0.0.3","TCP","74","34568  >  38144 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=1367496 TSecr=1367469 WS=512"
"4","34.397652296","10.0.0.3","10.0.0.2","TCP","66","38144  >  34568 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=1367521 TSecr=1367496"
"5","34.413910976","10.0.0.3","10.0.0.2","TCP","2114","38144  >  34568 [PSH, ACK] Seq=1 Ack=1 Win=29696 Len=2048 TSval=1367521 TSecr=1367496"
"6","34.426191963","10.0.0.3","10.0.0.2","TCP","1514","38144  >  34568 [ACK] Seq=2049 Ack=1 Win=29696 Len=1448 TSval=1367521 TSecr=1367496"
"7","34.437766188","10.0.0.3","10.0.0.2","TCP","1514","38144  >  34568 [ACK] Seq=3497 Ack=1 Win=29696 Len=1448 TSval=1367521 TSecr=1367496"
"8","34.462985825","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=4945 Ack=1 Win=29696 Len=2896 TSval=1367521 TSecr=1367496"
"9","34.475676496","10.0.0.3","10.0.0.2","TCP","1514","38144  >  34568 [ACK] Seq=7841 Ack=1 Win=29696 Len=1448 TSval=1367521 TSecr=1367496"
"10","34.499428047","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=9289 Ack=1 Win=29696 Len=2896 TSval=1367521 TSecr=1367496"
"11","34.511123488","10.0.0.3","10.0.0.2","TCP","1514","38144  >  34568 [ACK] Seq=12185 Ack=1 Win=29696 Len=1448 TSval=1367521 TSecr=1367496"
"12","34.566340211","10.0.0.2","10.0.0.3","TCP","66","34568  >  38144 [ACK] Seq=1 Ack=2049 Win=33280 Len=0 TSval=1367551 TSecr=1367521"
"13","34.580939418","10.0.0.2","10.0.0.3","TCP","66","34568  >  38144 [ACK] Seq=1 Ack=3497 Win=36352 Len=0 TSval=1367555 TSecr=1367521"
"14","34.594757686","10.0.0.2","10.0.0.3","TCP","66","34568  >  38144 [ACK] Seq=1 Ack=4945 Win=38912 Len=0 TSval=1367557 TSecr=1367521"
"15","34.624661481","10.0.0.2","10.0.0.3","TCP","66","34568  >  38144 [ACK] Seq=1 Ack=7841 Win=45056 Len=0 TSval=1367564 TSecr=1367521"
"16","34.628500515","10.0.0.2","10.0.0.3","TCP","66","34568  >  38144 [ACK] Seq=1 Ack=9289 Win=47616 Len=0 TSval=1367567 TSecr=1367521"
"17","34.640921010","10.0.0.3","10.0.0.2","TCP","2962","[TCP Previous segment not captured] 38144  >  34568 [ACK] Seq=16529 Ack=1 Win=29696 Len=2896 TSval=1367577 TSecr=1367551"
"18","34.655413795","10.0.0.2","10.0.0.3","TCP","66","34568  >  38144 [ACK] Seq=1 Ack=12185 Win=53760 Len=0 TSval=1367573 TSecr=1367521"
"19","34.666396738","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=19425 Ack=1 Win=29696 Len=2896 TSval=1367580 TSecr=1367555"
"20","34.677039288","10.0.0.2","10.0.0.3","TCP","66","34568  >  38144 [ACK] Seq=1 Ack=13633 Win=56320 Len=0 TSval=1367579 TSecr=1367521"
"21","34.689249875","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=22321 Ack=1 Win=29696 Len=2896 TSval=1367584 TSecr=1367557"
"22","34.714669956","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=25217 Ack=1 Win=29696 Len=2896 TSval=1367591 TSecr=1367564"
"23","34.738207489","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=28113 Ack=1 Win=29696 Len=2896 TSval=1367591 TSecr=1367564"
"24","34.762638277","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=31009 Ack=1 Win=29696 Len=2896 TSval=1367592 TSecr=1367567"
"25","34.786278737","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=33905 Ack=1 Win=29696 Len=2896 TSval=1367599 TSecr=1367573"
"26","34.802439492","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34568  >  38144 [ACK] Seq=1 Ack=13633 Win=62464 Len=0 TSval=1367608 TSecr=1367521 SLE=16529 SRE=19425"
"27","34.811059462","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=36801 Ack=1 Win=29696 Len=2896 TSval=1367599 TSecr=1367573"
"28","34.821759458","10.0.0.2","10.0.0.3","TCP","78","[TCP Window Update] 34568  >  38144 [ACK] Seq=1 Ack=13633 Win=68096 Len=0 TSval=1367615 TSecr=1367521 SLE=16529 SRE=22321"
"29","34.835069305","10.0.0.3","10.0.0.2","TCP","2962","38144  >  34568 [ACK] Seq=39697 Ack=1 Win=29696 Len=2896 TSval=1367604 TSecr=1367579"
