"No.","Time","Source","Destination","Protocol","Length","Info"
"34","0.904924030","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=35353 Ack=1 Win=29696 Len=1448 TSval=1359127 TSecr=1359102"
"35","0.915426191","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=23769 Win=84480 Len=0 TSval=1359123 TSecr=1359073 SLE=28113 SRE=31009"
"36","0.921984363","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=23769 Win=87040 Len=0 TSval=1359126 TSecr=1359073 SLE=28113 SRE=32457"
"37","0.978079312","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=23769 Ack=1 Win=29696 Len=1448 TSval=1359151 TSecr=1359123"
"38","0.990940589","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=25217 Ack=1 Win=29696 Len=1448 TSval=1359153 TSecr=1359126"
"39","1.048591825","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=23769 Win=92672 Len=0 TSval=1359159 TSecr=1359073 SLE=28113 SRE=35353"
"40","1.062235906","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=23769 Win=95744 Len=0 TSval=1359162 TSecr=1359073 SLE=28113 SRE=36801"
"41","1.111520197","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=36801 Ack=1 Win=29696 Len=1448 TSval=1359184 TSecr=1359159"
"42","1.124912772","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=38249 Ack=1 Win=29696 Len=1448 TSval=1359188 TSecr=1359162"
"43","1.129303037","10.0.0.2","10.0.0.1","TCP","78","34567  >  52142 [ACK] Seq=1 Ack=25217 Win=98816 Len=0 TSval=1359179 TSecr=1359151 SLE=28113 SRE=36801"
"44","1.143077434","10.0.0.2","10.0.0.1","TCP","78","34567  >  52142 [ACK] Seq=1 Ack=26665 Win=101376 Len=0 TSval=1359183 TSecr=1359153 SLE=28113 SRE=36801"
"45","1.203870418","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=39697 Ack=1 Win=29696 Len=2896 TSval=1359204 TSecr=1359179"
"46","1.266613181","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=26665 Win=104448 Len=0 TSval=1359213 TSecr=1359153 SLE=28113 SRE=38249"
"47","1.286549527","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=26665 Win=107520 Len=0 TSval=1359216 TSecr=1359153 SLE=28113 SRE=39697"
"48","1.329576524","10.0.0.1","10.0.0.2","TCP","1514","[TCP Previous segment not captured] 52142  >  34567 [ACK] Seq=44041 Ack=1 Win=29696 Len=1448 TSval=1359239 TSecr=1359213"
"49","1.348890449","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=26665 Ack=1 Win=29696 Len=1448 TSval=1359244 TSecr=1359216"
"50","1.356137185","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=26665 Win=113152 Len=0 TSval=1359236 TSecr=1359153 SLE=28113 SRE=42593"
"51","1.431068837","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=45489 Ack=1 Win=29696 Len=2896 TSval=1359261 TSecr=1359236"
"52","1.481460420","10.0.0.2","10.0.0.1","TCP","86","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=26665 Win=116224 Len=0 TSval=1359267 TSecr=1359153 SLE=44041 SRE=45489 SLE=28113 SRE=42593"
"53","1.505282270","10.0.0.2","10.0.0.1","TCP","78","34567  >  52142 [ACK] Seq=1 Ack=42593 Win=118784 Len=0 TSval=1359272 TSecr=1359244 SLE=44041 SRE=45489"
"54","1.543825240","10.0.0.1","10.0.0.2","TCP","1514","[TCP Out-Of-Order] 52142  >  34567 [ACK] Seq=42593 Ack=1 Win=29696 Len=1448 TSval=1359293 TSecr=1359267"
"55","1.568056475","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=48385 Ack=1 Win=29696 Len=1448 TSval=1359299 TSecr=1359272"
"56","1.583695023","10.0.0.2","10.0.0.1","TCP","78","[TCP Window Update] 34567  >  52142 [ACK] Seq=1 Ack=42593 Win=124928 Len=0 TSval=1359293 TSecr=1359244 SLE=44041 SRE=48385"
"57","1.658708751","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=49833 Ack=1 Win=29696 Len=2896 TSval=1359318 TSecr=1359293"
"58","1.699077199","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=48385 Win=127488 Len=0 TSval=1359322 TSecr=1359293"
"59","1.720344578","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=49833 Win=130560 Len=0 TSval=1359327 TSecr=1359299"
"60","1.801383417","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=52729 Ack=1 Win=29696 Len=2896 TSval=1359347 TSecr=1359322"
"61","1.801393281","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=55625 Ack=1 Win=29696 Len=1448 TSval=1359352 TSecr=1359327"
"62","1.815234030","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=52729 Win=136192 Len=0 TSval=1359350 TSecr=1359318"
"63","1.890153559","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=57073 Ack=1 Win=29696 Len=2896 TSval=1359376 TSecr=1359350"
"64","1.962205468","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=55625 Win=142336 Len=0 TSval=1359385 TSecr=1359347"
"65","1.971814091","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=57073 Win=144896 Len=0 TSval=1359389 TSecr=1359352"
"66","2.038089666","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=59969 Ack=1 Win=29696 Len=2896 TSval=1359413 TSecr=1359385"
"67","2.045006411","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=59969 Win=151040 Len=0 TSval=1359408 TSecr=1359376"
"68","2.049119897","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=62865 Ack=1 Win=29696 Len=1448 TSval=1359415 TSecr=1359389"
"69","2.120398256","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=64313 Ack=1 Win=29696 Len=2896 TSval=1359433 TSecr=1359408"
"70","2.190725580","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=62865 Win=156672 Len=0 TSval=1359445 TSecr=1359413"
"71","2.203725344","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=64313 Win=159744 Len=0 TSval=1359448 TSecr=1359415"
"72","2.267168832","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=67209 Ack=1 Win=29696 Len=2896 TSval=1359470 TSecr=1359445"
"73","2.274485254","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=67209 Win=165376 Len=0 TSval=1359465 TSecr=1359433"
"74","2.278104372","10.0.0.1","10.0.0.2","TCP","1514","52142  >  34567 [ACK] Seq=70105 Ack=1 Win=29696 Len=1448 TSval=1359473 TSecr=1359448"
"75","2.350129659","10.0.0.1","10.0.0.2","TCP","2962","52142  >  34567 [ACK] Seq=71553 Ack=1 Win=29696 Len=2896 TSval=1359491 TSecr=1359465"
"76","2.420205940","10.0.0.2","10.0.0.1","TCP","66","34567  >  52142 [ACK] Seq=1 Ack=70105 Win=170496 Len=0 TSval=1359502 TSecr=1359470"
